,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult
18,JOLACEU300g95p,ancient,2D,179.384087469776,0.2,0.903,0.997,1,FULAI,MANJAGO,0.41,MANJAGO,WOLLOF,8.06217924084168,224.410033991128,0.56,0.48,MANJAGO,WOLLOF,0.14,IBS,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
184,JOLAJUHOAN300g90p,ancient,2D,222.948459813757,0.15,0.896,1,1,XUN,MANJAGO,0.44,MANJAGO,MANJAGO,32.0235123081651,274.757889274181,0.63,0.4,MANJAGO,MANJAGO,0.13,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
182,JOLAJUHOAN300g80p,ancient,2D,243.977340694788,0.26,0.87,0.999,1,XUN,MANJAGO,0.42,FULAII,MANJAGO,17.6983142670373,269.623906826131,0.68,0.42,MANJAGO,MANJAGO,0.22,XUN,MANJAGO,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
163,JUHOANMALAWI400g80p,main,1D,6.58832183522413,0.17,0.929,0.999,1,FULAII,XUN,0.13,XUN,XUN,5.55395714614607,54.3305463035054,0.1,0.16,FULAII,XUN,0.28,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
41,JUHOANCEU300g95p,main,1D,6.76487724152169,0.16,0.898,0.999,1,FULAII,KARRETJIE,0.23,NAMA,XUN,4.30787778028015,38.647397807675,0.17,0.14,FULAII,KARRETJIE,0.13,KHWE,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
47,JUHOANCEU400g95p,main,1D,6.90809854778111,0.17,0.913,0.999,1,FULAII,KARRETJIE,0.2,NAMA,XUN,4.16795122700299,33.626194177426,0.16,0.13,FULAII,KARRETJIE,0.14,SEMI.BANTU,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
45,JUHOANCEU400g90p,main,1D,6.90809854778111,0.24,0.915,0.999,1,FULAII,KHOMANI,0.2,NAMA,KHOMANI,5.26954522000147,55.0516937379014,0.17,0.22,FULAII,KHOMANI,0.22,KHWE,KHOMANI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
155,JUHOANMALAWI200g95p,main,1D,6.93514818147144,0.12,0.908,0.994,1,FULAII,GUIGHANAKGAL,0.18,XUN,GUIGHANAKGAL,5.10561633544795,47.9601740154983,0.2,0.1,FULAII,XUN,0.13,KHWE,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
95,JUHOANJOLA400g95p,main,1D,7.02575982078434,0.2,0.843,0.997,1,FULAII,XUN,0.07,XUN,XUN,4.39218970830917,44.0922180900172,0.17,0.17,FULAII,XUN,0.33,XUN,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
93,JUHOANJOLA400g90p,main,1D,7.12622547587252,0.11,0.805,0.997,1,FULAII,XUN,0.24,XUN,XUN,4.66018944974,33.2794020291364,0.18,0.09,FULAII,XUN,0.09,BAMBARA,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
39,JUHOANCEU300g90p,main,1D,7.13539990435295,0.17,0.908,0.997,0.999,FULAII,KHOMANI,0.22,NAMA,KHOMANI,5.00724725607949,68.4113242680545,0.28,0.14,FULAII,KHOMANI,0.19,SEMI.BANTU,KHOMANI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
161,JUHOANMALAWI300g95p,main,1D,7.16296437690302,0.13,0.916,0.996,1,FULAII,XUN,0.22,XUN,GUIGHANAKGAL,5.30722034336832,39.6882478798629,0.17,0.11,FULAII,XUN,0.12,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
165,JUHOANMALAWI400g90p,main,1D,7.28312433450549,0.15,0.908,0.998,1,FULAII,XUN,0.22,XUN,XUN,5.37309001498211,40.1243705016177,0.17,0.12,FULAII,XUN,0.11,SEMI.BANTU,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
87,JUHOANJOLA300g90p,main,1D,7.29241545979413,0.19,0.794,0.996,1,FULAII,XUN,0.06,SWBANTU,XUN,4.90778308200645,67.0632729794636,0.14,0.16,FULAII,XUN,0.34,XUN,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
35,JUHOANCEU200g95p,main,2D,7.38570426117763,0.15,0.895,0.997,0.999,FULAII,KARRETJIE,0.24,NAMA,KARRETJIE,6.34005794342672,153.403605461624,0.8,0.14,FULAII,KARRETJIE,0.24,KHWE,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
153,JUHOANMALAWI200g90p,main,1D,7.3950708961657,0.14,0.907,0.991,0.999,FULAII,GUIGHANAKGAL,0.21,XUN,GUIGHANAKGAL,5.73119519727683,39.0057521067978,0.2,0.11,FULAII,XUN,0.13,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
149,JUHOANMALAWI100g95p,main,1D,7.45141486097481,0.09,0.877,0.986,0.998,FULAII,GUIGHANAKGAL,0.19,XUN,GUIGHANAKGAL,5.39356921473114,59.6532870227544,0.3,0.07,FULAII,GUIGHANAKGAL,0.48,XUN,KARRETJIE,1,0,8,6,(1675-1733),NA,NA,NA,NA,NA,NA,1D
147,JUHOANMALAWI100g90p,main,2D,7.47967951437412,0.13,0.897,0.98,0.992,FULAII,GUIGHANAKGAL,0.12,XUN,XUN,6.6127843908297,99.4374719704099,0.53,0.12,FULAII,GUIGHANAKGAL,0.2,KHWE,KARRETJIE,1,0,8,7,(1686-1724),NA,NA,NA,NA,NA,NA,1D
91,JUHOANJOLA400g80p,main,1D,7.49855693923097,0.13,0.718,0.997,1,FULAII,XUN,0.14,XUN,XUN,5.4702936115079,40.2705002843496,0.12,0.11,BAMBARA,XUN,0.08,FULAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
167,JUHOANMALAWI400g95p,main,1D,7.59335593460303,0.15,0.901,0.997,1,FULAII,XUN,0.2,XUN,XUN,5.09910535070464,45.4595073214595,0.17,0.12,FULAII,XUN,0.13,AKANS,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
159,JUHOANMALAWI300g90p,main,1D,7.62192949131818,0.14,0.913,0.996,0.999,FULAII,XUN,0.17,XUN,XUN,6.07167219316244,44.7325324751495,0.16,0.12,FULAII,XUN,0.13,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
145,JUHOANMALAWI100g80p,main,2D,7.74194946289063,0.16,0.91,0.998,0.999,SEMI.BANTU,GUIGHANAKGAL,0.45,XUN,GUIGHANAKGAL,6.49401105198636,96.8457596933808,0.64,0.14,FULAII,GUIGHANAKGAL,0.17,KHWE,GUIGHANAKGAL,1,0,9,7,(1673-1716),NA,NA,NA,NA,NA,NA,1D
157,JUHOANMALAWI300g80p,main,1D,7.9357666015625,0.15,0.93,0.999,1,FULAII,XUN,0.18,XUN,XUN,6.73542980663155,50.3968969682432,0.15,0.13,FULAII,XUN,0.27,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
89,JUHOANJOLA300g95p,main,1D,8.225,0.23,0.889,0.998,1,FULAII,AMAXHOSA,0.15,SEBANTU,SEBANTU,7.15600244668686,104.588333167795,0.1,0.25,SEBANTU,AMAXHOSA,0.4,SEBANTU,AMAXHOSA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
83,JUHOANJOLA200g95p,main,1D,8.3049072265625,0.11,0.829,0.996,1,FULAII,XUN,0.04,SWBANTU,XUN,4.2270683892729,65.9221224159672,0.28,0.08,FULAII,XUN,0.31,XUN,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
151,JUHOANMALAWI200g80p,main,1D,8.71103515625,0.16,0.928,0.999,1,FULAII,GUIGHANAKGAL,0.2,XUN,GUIGHANAKGAL,6.62899753840082,54.3127794642861,0.27,0.13,FULAII,GUIGHANAKGAL,0.17,KHWE,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
33,JUHOANCEU200g90p,main,2D,9.04384765625,0.16,0.901,0.992,0.999,FULAII,KHOMANI,0.36,KHOMANI,KARRETJIE,7.11978998773108,187.047174854773,0.83,0.14,FULAII,KHOMANI,0.28,IBS,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
85,JUHOANJOLA300g80p,main,1D,9.15634765625,0.12,0.665,0.995,1,FULAII,XUN,0.03,SWBANTU,XUN,6.748880134519,107.76084654432,0.14,0.14,FULAII,XUN,0.19,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
81,JUHOANJOLA200g90p,main,2D,9.51294555664063,0.12,0.795,0.995,0.999,FULAII,XUN,0.1,XUN,XUN,7.08359782360258,200.440279864347,0.37,0.1,FULAII,XUN,0.26,MANDINKAII,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
31,JUHOANCEU200g80p,main,2D,9.8771728515625,0.17,0.838,0.899,0.998,IBS,KHOMANI,0.3,XUN,KHOMANI,5.20637207784674,154.710195655144,0.85,0.14,FULAII,KHOMANI,0.25,GBR,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
154,JUHOANMALAWI200g90p,ancient,1D,10.4150634765625,0.16,0.886,0.98,0.997,FULAII,GUIGHANAKGAL,0.25,XUN,XUN,3.49966081882354,40.9351596397256,0.33,0.14,FULAII,XUN,0.14,KHWE,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
158,JUHOANMALAWI300g80p,ancient,2D,10.44541015625,0.17,0.91,0.999,1,FULAII,XUN,0.34,XUN,XUN,9.35794035549791,127.315918771548,0.37,0.26,FULAII,XUN,0.16,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
79,JUHOANJOLA200g80p,main,2D,10.628515625,0.11,0.692,0.991,0.999,FULAII,XUN,0.07,KHWE,XUN,6.85377365770204,180.324620227466,0.58,0.11,FULAII,XUN,0.34,MANDINKAI,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
29,JUHOANCEU100g95p,main,2D,10.7515625,0.31,0.877,0.995,0.998,FULAII,KARRETJIE,0.18,NAMA,XUN,5.89988165060155,96.0538818833763,0.97,0.12,FULAII,KARRETJIE,0.2,KHWE,KARRETJIE,1,0,13,10,(1532-1644),NA,NA,NA,NA,NA,NA,1D
164,JUHOANMALAWI400g80p,ancient,1D,10.9687744140625,0.19,0.901,0.998,0.999,FULAII,XUN,0.25,XUN,XUN,4.75062146160851,45.2453709636221,0.14,0.25,KHWE,XUN,0.24,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
156,JUHOANMALAWI200g95p,ancient,1D,11.2832275390625,0.15,0.894,0.992,0.999,FULAII,GUIGHANAKGAL,0.28,XUN,GUIGHANAKGAL,1.19515608580406,31.0577075962564,0.25,0.22,FULAII,GUIGHANAKGAL,0.12,KHWE,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
162,JUHOANMALAWI300g95p,ancient,1D,11.44228515625,0.15,0.89,0.991,1,FULAII,XUN,0.24,XUN,XUN,2.00759103567126,32.4041650299498,0.18,0.17,FULAII,XUN,0.13,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
160,JUHOANMALAWI300g90p,ancient,1D,13.1343994140625,0.16,0.895,0.987,0.999,FULAII,XUN,0.12,XUN,XUN,3.13450756783229,28.4754369419467,0.19,0.16,FULAII,XUN,0.14,KHWE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
152,JUHOANMALAWI200g80p,ancient,2D,13.5510009765625,0.2,0.937,0.998,0.999,SEMI.BANTU,GUIGHANAKGAL,0.47,XUN,XUN,10.3670371247793,101.246156818985,0.54,0.16,FULAII,GUIGHANAKGAL,0.28,KHWE,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
148,JUHOANMALAWI100g90p,ancient,2D,14.1330449593939,0.17,0.884,0.943,0.994,WASAMBAA,GUIGHANAKGAL,0.39,GUIGHANAKGAL,XUN,8.10693785943192,77.104655936553,0.58,0.12,FULAII,GUIGHANAKGAL,0.18,KHWE,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
168,JUHOANMALAWI400g95p,ancient,1D,14.204777433887,0.15,0.896,0.993,1,FULAII,XUN,0.21,XUN,XUN,3.58036560615481,23.0710463385531,0.15,0.11,FULAII,XUN,0.13,FULAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
166,JUHOANMALAWI400g90p,ancient,1D,14.6879866583434,0.15,0.888,0.993,0.999,FULAII,XUN,0.16,XUN,XUN,1.9100926256853,32.2830770224957,0.11,0.18,FULAII,XUN,0.14,SEMI.BANTU,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
42,JUHOANCEU300g95p,ancient,2D,14.8837015895068,0.17,0.893,0.997,0.999,SEMI.BANTU,KARRETJIE,0.2,NAMA,KARRETJIE,10.8376862295716,134.414829096914,0.77,0.16,FULAII,KARRETJIE,0.22,KHWE,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
48,JUHOANCEU400g95p,ancient,2D,15.7057108126471,0.18,0.906,0.997,0.999,FULAII,KARRETJIE,0.2,NAMA,XUN,14.5348721096888,92.7573059960443,0.54,0.17,FULAII,KARRETJIE,0.3,XUN,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
150,JUHOANMALAWI100g95p,ancient,2D,16.6815503219109,0.21,0.85,0.971,0.992,KHWE,GUIGHANAKGAL,0.33,XUN,XUN,14.6193792058037,96.3176213760716,0.49,0.08,FULAII,GUIGHANAKGAL,0.44,KARRETJIE,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
92,JUHOANJOLA400g80p,ancient,1D,17.0489716756013,0.12,0.7,0.99,0.998,FULAII,XUN,0.12,KHWE,XUN,9.99246010086092,236.316255239116,0.35,0.13,BAMBARA,XUN,0.4,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
77,JUHOANJOLA100g95p,main,2D,17.2342778546027,0.12,0.793,0.991,1,FULAII,XUN,0.2,XUN,XUN,4.36722757393434,91.3483835440582,0.72,0.06,FULAII,XUN,0.24,MANDINKAII,KARRETJIE,1,0,32,12,(1001-1573),NA,NA,NA,NA,NA,NA,1D
146,JUHOANMALAWI100g80p,ancient,2D,17.3140204011454,0.2,0.9,0.979,0.997,KHWE,GUIGHANAKGAL,0.18,KHWE,GUIGHANAKGAL,8.90084798133848,84.2425845527087,0.7,0.13,FULAII,GUIGHANAKGAL,0.3,WABONDEI,GUIGHANAKGAL,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
94,JUHOANJOLA400g90p,ancient,1D,18.0133062033304,0.12,0.777,0.995,1,FULAII,XUN,0.08,XUN,XUN,9.72251451971947,163.681322731896,0.23,0.12,BAMBARA,XUN,0.12,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
40,JUHOANCEU300g90p,ancient,2D,18.7827941003892,0.19,0.914,0.987,0.996,SEMI.BANTU,KHOMANI,0.42,KHOMANI,XUN,16.7381174346815,227.021243067155,0.89,0.18,FULAII,KHOMANI,0.14,GBR,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
36,JUHOANCEU200g95p,ancient,2D,18.9219935232026,0.17,0.902,0.994,0.997,SEMI.BANTU,KARRETJIE,0.21,NAMA,XUN,10.7508646405537,127.329625591066,0.93,0.15,FULAII,KARRETJIE,0.14,IBS,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
86,JUHOANJOLA300g80p,ancient,2D,58.2934649568202,0.26,0.756,0.996,0.999,MANDINKAII,XUN,0.23,XUN,XUN,10.4007548595673,167.848235465661,0.46,0.13,FULAII,XUN,0.43,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
82,JUHOANJOLA200g90p,ancient,2D,66.5535396223665,0.26,0.843,0.994,1,MANDINKAII,XUN,0.16,XUN,XUN,9.08956452313489,151.049135228018,0.49,0.12,FULAII,XUN,0.31,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
30,JUHOANCEU100g95p,ancient,2D,73.312627334306,0.16,0.975,0.994,1,GBR,KARRETJIE,0.39,KHOMANI,XUN,3.56586590545778,83.4568917267999,0.68,0.12,FULAII,KARRETJIE,0.09,GBR,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
28,JUHOANCEU100g90p,ancient,2D,80.1821899414062,0.09,0.984,0.995,1,GBR,XUN,0.25,SEMI.BANTU,KHOMANI,9.85880585011338,86.9518128930152,0.65,0.11,FULAII,KHOMANI,0.09,GBR,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
25,JUHOANCEU100g80p,main,2D,98.515625,0.2,0.988,1,1,GBR,XUN,0.37,IBS,KHOMANI,5.71419986296882,97.9732164086646,0.83,0.13,FULAII,KHOMANI,0.2,GBR,XUN,1,0,101,93,(1007B-790B),103,94,(1072B-802B),6,5,(1739-1784),2D
34,JUHOANCEU200g90p,ancient,2D,143.544116313152,0.13,0.969,0.971,1,GBR,XUN,0.28,SEMI.BANTU,KHOMANI,15.2164116752204,152.609379459113,0.82,0.16,FULAII,KHOMANI,0.1,GBR,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
202,MALAWIJUHOAN200g90p,ancient,2D,253.820132572679,0.14,0.93,0.994,0.994,XUN,MZIGUA,0.26,SEBANTU,SEBANTU,10.8873044392273,234.986227296483,0.85,0.09,FULAII,SEBANTU,0.13,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
88,JUHOANJOLA300g90p,ancient,2D,22.6396112310098,0.22,0.816,0.991,0.999,FULAII,XUN,0.03,SWBANTU,XUN,9.96345607909296,154.595714967437,0.49,0.19,BAMBARA,XUN,0.37,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
75,JUHOANJOLA100g90p,main,2D,65.5141486097481,0.24,0.916,0.996,1,MANDINKAII,KARRETJIE,0.3,XUN,KARRETJIE,6.46944955239683,97.1836325508193,0.64,0.05,BAMBARA,XUN,0.21,MANDINKAI,KARRETJIE,1,0,71,56,(140B-299),NA,NA,NA,NA,NA,NA,1D
80,JUHOANJOLA200g80p,ancient,2D,125.549087524414,0.36,0.921,0.999,1,MANDINKAII,XUN,0.13,KHWE,XUN,4.21899821962311,141.727963141874,0.4,0.14,BAMBARA,XUN,0.37,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
76,JUHOANJOLA100g90p,ancient,2D,66.1746182216035,0.27,0.96,0.997,1,MANDINKAII,KARRETJIE,0.24,XUN,KARRETJIE,6.44691656244862,68.8844526831221,0.44,0.11,AKANS,XUN,0.27,MANDINKAI,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
66,MALAWICEU300g95p,ancient,2D,3.42111883356642,0.3,0.68,0.95,0.999,MZIGUA,MZIGUA,0.43,MZIGUA,MZIGUA,13.6738839382062,311.336492913474,0.85,0.33,MZIGUA,MZIGUA,0.13,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
203,MALAWIJUHOAN200g95p,main,1D,5.91777167849524,0.16,0.941,0.981,0.999,MZIGUA,MZIGUA,0.4,SEBANTU,MZIGUA,5.60221599789608,68.2220567346156,0.34,0.15,SEMI.BANTU,MZIGUA,0.34,SEBANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
57,MALAWICEU200g90p,main,2D,6.0751304598429,0.16,0.857,0.926,0.999,MZIGUA,MZIGUA,0.32,MZIGUA,MZIGUA,6.3536687382219,229.928874800961,0.84,0.19,MZIGUA,MZIGUA,0.12,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
68,MALAWICEU400g80p,ancient,2D,6.55334025083485,0.48,0.551,0.749,0.999,MZIGUA,MZIGUA,0.33,MZIGUA,MZIGUA,12.2088114293987,378.85918598417,0.6,0.47,MZIGUA,MZIGUA,0.32,GBR,SEMI.BANTU,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
61,MALAWICEU300g80p,main,1MW,6.62341325190349,0.37,0.852,0.901,1,MZIGUA,MZIGUA,0.42,MZIGUA,MZIGUA,5.52555395900746,150.887968363955,0.31,0.38,MZIGUA,MZIGUA,0.4,IBS,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
55,MALAWICEU200g80p,main,2D,7.01666776652147,0.22,0.834,0.906,1,MZIGUA,MZIGUA,0.21,MZIGUA,MZIGUA,4.96825795229099,180.656254378727,0.85,0.29,MZIGUA,MZIGUA,0.17,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
53,MALAWICEU100g95p,main,2D,7.703515625,0.06,0.809,0.996,1,GBR,MZIGUA,0.29,MZIGUA,MZIGUA,8.93917426917076,118.405979390005,0.98,0.23,MZIGUA,MZIGUA,0.07,GBR,MZIGUA,1,0,10,7,(1638-1731),NA,NA,NA,NA,NA,NA,1D
197,MALAWIJUHOAN100g95p,main,2D,7.76763305664063,0.1,0.906,0.896,0.999,SEBANTU,MZIGUA,0.14,MZIGUA,MZIGUA,3.71982974405089,81.5016423796848,0.88,0.16,MZIGUA,MZIGUA,0.08,XUN,MZIGUA,1,0,9,7,(1646-1732),NA,NA,NA,NA,NA,NA,1MW
101,MALAWIJOLA100g95p,main,2D,18.0133062033304,0.18,0.753,0.997,0.999,MZIGUA,MZIGUA,0.5,MZIGUA,MZIGUA,6.2271604072521,75.1241566792582,0.64,0.18,MZIGUA,MZIGUA,0.16,MANDINKAII,MZIGUA,1,0,31,12,(1036-1562),NA,NA,NA,NA,NA,NA,1D
99,MALAWIJOLA100g90p,main,2D,44.748981267209,0.16,0.877,1,1,MANDINKAII,MZIGUA,0.25,MZIGUA,MZIGUA,8.17671077888321,79.7185849406876,0.79,0.11,MZIGUA,MZIGUA,0.19,MANDINKAI,MZIGUA,1,0,53,34,(378-943),NA,NA,NA,NA,NA,NA,1D
97,MALAWIJOLA100g80p,main,2D,87.2866821289062,0.25,0.929,1,1,MANDINKAI,MZIGUA,0.24,MZIGUA,MZIGUA,5.00221097734586,95.7443921915076,0.88,0.39,MZIGUA,MZIGUA,0.24,MANDINKAI,MZIGUA,1,0,93,78,(778B-349B),NA,NA,NA,NA,NA,NA,1D
