,Cluster,Analysis,Result,date.1D,alpha,max(R1),FQ1,FQ2,best.source1,best.source2,alpha2,best.source1.ev2,best.source2.ev2,date.2D.1,date.2D.2,maxScore2ev,alpha2.date1,best.source1.date1,best.source2.date1,alpha2.date2,best.source1.date2,best.source2.date2,pval,nump,date.1D.H,date.1D.L,Date.CI,date.2D.2.H,date.2D.2.L,Date2b.CI,date.2D.1.H,date.2D.1.L,Date2a.CI,FinalResult
195,MALAWIJUHOAN100g90p,main,2D,101.312744140625,0.13,0.939,0.999,1,XUN,MZIGUA,0.22,MZIGUA,SEBANTU,4.24978216439622,98.8912427436304,0.81,0.15,MZIGUA,SEBANTU,0.13,XUN,MZIGUA,1,0,102,8,(1024B-1680),NA,NA,NA,NA,NA,NA,1D
51,MALAWICEU100g90p,main,2D,104.78515625,0.16,0.988,1,1,GBR,MZIGUA,0.42,MZIGUA,MZIGUA,5.11180845833587,107.265790488398,0.75,0.48,MZIGUA,MZIGUA,0.16,GBR,MZIGUA,1,0,109,101,(1245B-997B),NA,NA,NA,NA,NA,NA,1D
52,MALAWICEU100g90p,ancient,2D,106.985416412354,0.12,0.988,1,1,GBR,MZIGUA,0.15,SEBANTU,MZIGUA,23.7970004710303,102.821075624308,0.7,0.48,MZIGUA,MZIGUA,0.11,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
49,MALAWICEU100g80p,main,2D,109.656192779541,0.23,0.99,1,1,GBR,MZIGUA,0.37,MZIGUA,MZIGUA,5.74677678199364,111.770158338182,0.78,0.37,MZIGUA,MZIGUA,0.23,GBR,MZIGUA,1,0,114,106,(1392B-1158B),NA,NA,NA,NA,NA,NA,1D
54,MALAWICEU100g95p,ancient,2D,113.393127441406,0.07,0.977,1,1,GBR,MZIGUA,0.1,SEBANTU,MZIGUA,24.5682262548501,113.482416542954,0.77,0.34,MZIGUA,MZIGUA,0.07,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
104,MALAWIJOLA200g80p,ancient,2D,124.765625,0.38,0.834,1,1,MANDINKAII,MZIGUA,0.23,SEBANTU,MZIGUA,24.2236390109303,221.538241362566,0.84,0.29,MZIGUA,MZIGUA,0.36,MANDINKAII,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
196,MALAWIJUHOAN100g90p,ancient,2D,126.8603515625,0.14,0.98,1,1,XUN,MZIGUA,0.26,SEBANTU,MZIGUA,15.1298065580559,127.12639575963,0.81,0.39,MZIGUA,SEBANTU,0.14,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
56,MALAWICEU200g80p,ancient,2D,188.329217396584,0.23,0.979,1,1,GBR,MZIGUA,0.22,SEBANTU,MZIGUA,15.9409321739118,186.295008200796,0.74,0.24,MZIGUA,MZIGUA,0.24,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
58,MALAWICEU200g90p,ancient,2D,195.308718514754,0.12,0.968,0.997,0.997,GBR,MZIGUA,0.18,SEBANTU,MZIGUA,15.489385137514,198.857614599118,0.74,0.34,MZIGUA,MZIGUA,0.12,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
60,MALAWICEU200g95p,ancient,2D,202.341952509536,0.08,0.94,0.998,0.998,GBR,MZIGUA,0.2,SEBANTU,MZIGUA,13.7176375971703,205.368380046931,0.78,0.45,MZIGUA,MZIGUA,0.1,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
62,MALAWICEU300g80p,ancient,2D,277.546624266858,0.2,0.932,0.998,0.998,GBR,MZIGUA,0.34,MZIGUA,MZIGUA,16.3133106384414,280.770531443499,0.7,0.33,MZIGUA,MZIGUA,0.2,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
206,MALAWIJUHOAN300g80p,ancient,2D,4.00614020069757,0.43,0.701,0.954,0.999,SEBANTU,SEBANTU,0.28,SEBANTU,SEBANTU,11.2995333033828,401.590685070317,0.79,0.27,SEBANTU,SEBANTU,0.25,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
205,MALAWIJUHOAN300g80p,main,1D,6.62341325190349,0.28,0.927,0.993,0.999,SEBANTU,SEBANTU,0.5,SEBANTU,SEBANTU,6.02987533471544,86.2431139261735,0.1,0.28,SEBANTU,SEBANTU,0.33,MZIGUA,AMAXHOSA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
199,MALAWIJUHOAN200g80p,main,2D,6.71162230987097,0.2,0.938,0.907,1,MZIGUA,SEBANTU,0.27,SEBANTU,SEBANTU,5.55526102325808,134.638508356728,0.55,0.2,SEBANTU,SEBANTU,0.38,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
193,MALAWIJUHOAN100g80p,main,2D,106.0625,0.23,0.958,1,1,XUN,MZIGUA,0.19,AMAXHOSA,SEBANTU,4.60123417539523,104.957704864425,0.81,0.09,SEBANTU,SEBANTU,0.24,XUN,MZIGUA,1,0,109,96,(1241B-870B),NA,NA,NA,NA,NA,NA,1D
194,MALAWIJUHOAN100g80p,ancient,2D,115.139175415039,0.24,0.988,1,1,XUN,MZIGUA,0.2,AMAXHOSA,SEBANTU,14.9626516448433,119.004428461203,0.8,0.3,SEBANTU,SEBANTU,0.24,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
198,MALAWIJUHOAN100g95p,ancient,2D,141.808058014594,0.09,0.965,0.999,0.999,XUN,MZIGUA,0.31,SEBANTU,MZIGUA,19.7652211679631,140.650680764146,0.72,0.17,SEBANTU,MZIGUA,0.09,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
200,MALAWIJUHOAN200g80p,ancient,2D,217.702730921753,0.24,0.943,0.999,0.999,XUN,MZIGUA,0.33,AMAXHOSA,SEBANTU,13.8968096063407,220.393246189913,0.87,0.26,SEBANTU,SEBANTU,0.25,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
37,JUHOANCEU300g80p,main,2D,6.34575722259076,0.27,0.889,0.992,0.999,IBS,KHOMANI,0.36,KHOMANI,KHOMANI,5.12089738433466,173.033766479105,0.49,0.3,KHWE,KHOMANI,0.29,IBS,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
96,JUHOANJOLA400g95p,ancient,1D,15.2295456759416,0.24,0.843,0.991,1,KHWE,XUN,0.03,SWBANTU,XUN,1.00002843698281,41.6408911206893,0.19,0.18,FULAII,XUN,0.35,XUN,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
46,JUHOANCEU400g90p,ancient,2D,15.4040632213153,0.25,0.904,0.996,0.998,KHWE,KHOMANI,0.47,XUN,KHOMANI,12.6352026718296,156.585848977989,0.74,0.24,KHWE,KHOMANI,0.15,IBS,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
90,JUHOANJOLA300g95p,ancient,1D,19.9115847415272,0.22,0.846,0.991,0.999,KHWE,XUN,0.05,SWBANTU,XUN,11.9676516503776,134.236147085015,0.24,0.19,KHWE,XUN,0.08,MANDINKAII,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
84,JUHOANJOLA200g95p,ancient,2D,33.3183078380231,0.21,0.882,0.995,1,FULAII,XUN,0.1,XUN,XUN,12.4900458480081,98.7400575692548,0.41,0.15,KHWE,XUN,0.34,XUN,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
74,JUHOANJOLA100g80p,ancient,2D,75.0164007341136,0.38,0.972,1,1,MANDINKAI,KARRETJIE,0.23,KHWE,XUN,10.062442244573,77.2932392316875,0.41,0.12,KHWE,XUN,0.37,MANDINKAI,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
78,JUHOANJOLA100g95p,ancient,2D,52.4212815678941,0.31,0.942,0.986,0.999,MANDINKAII,KARRETJIE,0.38,XUN,KARRETJIE,7.88720792963002,60.8255180739998,0.49,0.31,XUN,KARRETJIE,0.13,XUN,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
172,JOLAJUHOAN100g90p,ancient,2D,86.5625,0.14,0.988,1,1,XUN,SERERE,0.45,MANJAGO,MALINKE,103.312242900219,332.211133068351,0.44,0.13,XUN,MANDINKAI,0.48,MANJAGO,SEREHULE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
170,JOLAJUHOAN100g80p,ancient,2D,89.1104888916016,0.22,0.989,1,1,XUN,SERERE,0.17,MANJAGO,MALINKE,119.23657013137,226.627095023134,0.57,0.23,XUN,MANDINKAI,0.44,NAMKAM,YRI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
27,JUHOANCEU100g90p,main,2D,101.782775878906,0.12,0.99,0.999,1,GBR,XUN,0.34,FULAII,KARRETJIE,4.65349809194613,102.937474095357,0.84,0.28,XUN,KHOMANI,0.12,GBR,XUN,1,0,105,96,(1116B-873B),NA,NA,NA,NA,NA,NA,1D
43,JUHOANCEU400g80p,main,1D,6.48370657892651,0.41,0.894,0.996,0.999,KHOMANI,KHOMANI,0.33,KHOMANI,KHOMANI,5.14953528517156,67.2855842472181,0.14,0.39,KHOMANI,KHOMANI,0.22,IBS,KHOMANI,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
26,JUHOANCEU100g80p,ancient,2D,82.246280670166,0.18,0.99,0.999,1,GBR,XUN,0.26,SEMI.BANTU,KHOMANI,39.1874270589717,93.4206707553153,0.63,0.19,FIN,KHOMANI,0.18,GBR,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
50,MALAWICEU100g80p,ancient,2D,107.95276260376,0.21,0.994,1,1,GBR,MZIGUA,0.18,SEBANTU,MZIGUA,86.2119533531709,86.2071111411702,0.68,0.21,GBR,MZIGUA,0.19,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
32,JUHOANCEU200g80p,ancient,2D,152.127700838513,0.23,0.982,0.996,1,GBR,XUN,0.31,SEMI.BANTU,KHOMANI,14.7354555597585,159.385233072978,0.75,0.16,IBS,KHOMANI,0.21,GBR,XUN,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
44,JUHOANCEU400g80p,ancient,2D,15.3042086645992,0.28,0.871,0.977,0.999,IBS,KHOMANI,0.47,KHOMANI,KHOMANI,13.4775988230242,258.46795581419,0.76,0.24,TSI,KHOMANI,0.25,GBR,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
38,JUHOANCEU300g80p,ancient,2D,167.349442634259,0.33,0.93,0.973,1,IBS,KARRETJIE,0.31,KHWE,KHOMANI,19.5157286848723,212.358291443087,0.83,0.18,TSI,KHOMANI,0.2,GBR,KARRETJIE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
114,MALAWIJOLA300g95p,ancient,2D,1,0.16,0.643,0.997,0.999,FULAII,MZIGUA,0.29,SEMI.BANTU,MZIGUA,11.1353305011746,377.921756612182,0.71,0.13,SEMI.BANTU,MZIGUA,0.43,SEBANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
208,MALAWIJUHOAN300g90p,ancient,2D,1.25,0.26,0.659,0.787,0.999,SEMI.BANTU,SEBANTU,0.44,SEBANTU,MZIGUA,10.1503668327608,346.976225451064,0.77,0.2,SEMI.BANTU,SEBANTU,0.14,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
210,MALAWIJUHOAN300g95p,ancient,2D,1.53792952153677,0.23,0.687,0.911,0.999,FULAII,MZIGUA,0.39,SEBANTU,MZIGUA,12.590546923315,355.251903675397,0.76,0.19,SEMI.BANTU,MZIGUA,0.09,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
108,MALAWIJOLA200g95p,ancient,2D,1.7804979473124,0.17,0.609,0.994,0.998,FULAII,MZIGUA,0.43,MZIGUA,MZIGUA,13.1790898735386,276.870619183061,0.8,0.08,SEMI.BANTU,MZIGUA,0.4,SEBANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
112,MALAWIJOLA300g90p,ancient,2D,1.81022855619898,0.3,0.655,0.995,0.999,SEMI.BANTU,MZIGUA,0.31,MZIGUA,MZIGUA,10.6482981353967,387.95074364297,0.63,0.23,SEMI.BANTU,MZIGUA,0.45,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
70,MALAWICEU400g90p,ancient,2D,2.40067289156347,0.28,0.676,0.957,0.999,SEMI.BANTU,MZIGUA,0.49,MZIGUA,MZIGUA,9.71076009774519,405.621114110941,0.7,0.31,SEMI.BANTU,MZIGUA,0.16,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
216,MALAWIJUHOAN400g95p,ancient,2D,3.490787763267,0.31,0.701,0.983,0.999,SEMI.BANTU,MZIGUA,0.4,SEBANTU,MZIGUA,11.5070467401064,455.155157685106,0.59,0.36,SEMI.BANTU,MZIGUA,0.11,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
214,MALAWIJUHOAN400g90p,ancient,2D,3.81652706755856,0.3,0.709,0.893,0.998,SEMI.BANTU,SEBANTU,0.35,SEBANTU,SEBANTU,11.1254746351128,487.262441791434,0.6,0.31,SEMI.BANTU,SEBANTU,0.14,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
110,MALAWIJOLA300g80p,ancient,2D,4.04480398615197,0.32,0.652,0.983,0.999,SEMI.BANTU,MZIGUA,0.34,SEMI.BANTU,MZIGUA,13.4934817373149,357.630533003937,0.6,0.24,SEMI.BANTU,MZIGUA,0.38,MANDINKAI,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
118,MALAWIJOLA400g90p,ancient,2D,4.24182870755699,0.3,0.656,0.997,0.999,SEMI.BANTU,MZIGUA,0.48,MZIGUA,SEMI.BANTU,11.9493659130195,527.262011482694,0.52,0.31,SEMI.BANTU,MZIGUA,0.46,SEBANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
120,MALAWIJOLA400g95p,ancient,2D,4.65543827831742,0.24,0.688,0.998,0.999,SEMI.BANTU,MZIGUA,0.45,MZIGUA,MZIGUA,12.9932436536999,560.164157815933,0.61,0.24,SEMI.BANTU,MZIGUA,0.43,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
212,MALAWIJUHOAN400g80p,ancient,2D,4.74094271614178,0.35,0.813,0.932,0.999,SEMI.BANTU,SEBANTU,0.27,AMAXHOSA,SEBANTU,10.1731814431716,457.153871637065,0.62,0.3,SEMI.BANTU,SEBANTU,0.26,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
106,MALAWIJOLA200g90p,ancient,2D,5.06291607450027,0.22,0.583,0.996,0.999,MZIGUA,MZIGUA,0.34,MZIGUA,MZIGUA,12.409975735928,270.593868620935,0.73,0.16,SEMI.BANTU,MZIGUA,0.39,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
72,MALAWICEU400g95p,ancient,2D,5.24413935312607,0.38,0.716,0.99,0.999,SEMI.BANTU,MZIGUA,0.48,MZIGUA,MZIGUA,12.9030811448465,370.043154167281,0.69,0.36,SEMI.BANTU,MZIGUA,0.15,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
109,MALAWIJOLA300g80p,main,1D,5.68237019053027,0.17,0.933,0.995,1,SEMI.BANTU,MZIGUA,0.48,MZIGUA,MZIGUA,4.90076350408076,49.3080724506511,0.06,0.23,SEMI.BANTU,MZIGUA,0.4,SEMI.BANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
116,MALAWIJOLA400g80p,ancient,2D,5.68237019053027,0.29,0.663,0.978,0.999,SEMI.BANTU,MZIGUA,0.46,SEMI.BANTU,SEMI.BANTU,12.5615594733432,512.463995715539,0.55,0.29,SEMI.BANTU,MZIGUA,0.42,MANDINKAI,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
119,MALAWIJOLA400g95p,main,1D,5.9589416259785,0.24,0.918,1,1,SEMI.BANTU,MZIGUA,0.5,MZIGUA,MZIGUA,5.09463995989156,64.3601755832868,0.08,0.24,SEMI.BANTU,MZIGUA,0.41,SEMI.BANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
207,MALAWIJUHOAN300g90p,main,1D,5.96719620902954,0.22,0.933,0.985,1,SEMI.BANTU,SEBANTU,0.44,SEBANTU,SEBANTU,5.8255377577229,98.865125948468,0.09,0.21,SEMI.BANTU,SEBANTU,0.46,SEBANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
115,MALAWIJOLA400g80p,main,1D,6.02517049689447,0.29,0.923,0.997,0.999,SEMI.BANTU,MZIGUA,0.44,SEMI.BANTU,SEMI.BANTU,5.21171854541129,21.5753033233619,0.06,0.31,SEMI.BANTU,MZIGUA,0.43,MZIGUA,SEMI.BANTU,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
65,MALAWICEU300g95p,main,1D,6.02517049689447,0.26,0.881,0.999,1,SEMI.BANTU,MZIGUA,0.47,MZIGUA,MZIGUA,5.43824466028039,106.529531614954,0.28,0.25,SEMI.BANTU,MZIGUA,0.31,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
209,MALAWIJUHOAN300g95p,main,1D,6.03347999609055,0.19,0.933,0.997,1,SEMI.BANTU,MZIGUA,0.31,SEBANTU,MZIGUA,5.31117300190553,26.2133473367921,0.06,0.2,SEMI.BANTU,MZIGUA,0.44,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
67,MALAWICEU400g80p,main,1D,6.0751304598429,0.39,0.795,0.976,0.999,SEMI.BANTU,MZIGUA,0.37,MZIGUA,MZIGUA,5.60364401097973,52.3570263848912,0.06,0.4,SEMI.BANTU,MZIGUA,0.43,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
111,MALAWIJOLA300g90p,main,1D,6.125337545444,0.16,0.929,0.998,1,SEMI.BANTU,MZIGUA,0.43,MZIGUA,MZIGUA,5.83538120734391,11.0510035784393,0.05,0.4,MZIGUA,MZIGUA,0.4,SEMI.BANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
213,MALAWIJUHOAN400g90p,main,1D,6.14212815678941,0.34,0.923,0.998,0.999,SEMI.BANTU,SEBANTU,0.45,SEBANTU,SEBANTU,5.3692971662819,44.9755121314647,0.08,0.32,SEMI.BANTU,SEBANTU,0.36,SEBANTU,SEBANTU,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
201,MALAWIJUHOAN200g90p,main,2D,6.38867762219712,0.14,0.939,0.796,0.999,SEMI.BANTU,SEBANTU,0.48,MZIGUA,SEBANTU,5.82345964802694,126.355377627947,0.45,0.13,SEMI.BANTU,SEBANTU,0.22,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
211,MALAWIJUHOAN400g80p,main,1D,6.41451223617848,0.3,0.926,0.997,0.999,SEMI.BANTU,SEBANTU,0.4,SEBANTU,SEBANTU,5.75288427435828,31.204686924636,0.05,0.34,SEMI.BANTU,SEBANTU,0.46,SEBANTU,SEBANTU,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
69,MALAWICEU400g90p,main,1D,6.50107380979482,0.34,0.852,0.996,1,SEMI.BANTU,MZIGUA,0.45,MZIGUA,MZIGUA,5.5253756387914,22.3095005042918,0.04,0.37,SEMI.BANTU,MZIGUA,0.4,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
63,MALAWICEU300g90p,main,1D,6.50976772200617,0.22,0.873,0.992,1,SEMI.BANTU,MZIGUA,0.25,MZIGUA,MZIGUA,6.10855344266572,133.456286438273,0.28,0.21,SEMI.BANTU,MZIGUA,0.32,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
113,MALAWIJOLA300g95p,main,1D,6.7826838015503,0.17,0.924,1,1,SEMI.BANTU,MZIGUA,0.31,MZIGUA,MZIGUA,6.25261221198214,12.5028477559693,0.07,0.33,MZIGUA,MZIGUA,0.4,SEMI.BANTU,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
105,MALAWIJOLA200g90p,main,1D,6.85418462238993,0.17,0.936,0.998,0.999,SEMI.BANTU,MZIGUA,0.31,MZIGUA,MZIGUA,5.62763329734838,83.8339203084288,0.24,0.19,MZIGUA,MZIGUA,0.21,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
59,MALAWICEU200g95p,main,2D,6.85418462238993,0.13,0.888,0.977,1,SEMI.BANTU,MZIGUA,0.37,MZIGUA,MZIGUA,6.05705816421592,152.452593770556,0.82,0.12,SEMI.BANTU,MZIGUA,0.09,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
117,MALAWIJOLA400g90p,main,1D,6.94417845507115,0.26,0.905,1,1,SEMI.BANTU,MZIGUA,0.49,SEMI.BANTU,MZIGUA,5.85461737110915,13.2658031621329,0.07,0.33,SEMI.BANTU,MZIGUA,0.48,MZIGUA,SEMI.BANTU,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
215,MALAWIJUHOAN400g95p,main,1D,6.98943279084163,0.36,0.918,1,1,SEMI.BANTU,MZIGUA,0.45,SEBANTU,MZIGUA,6.02909497499701,47.1420599471365,0.06,0.39,SEMI.BANTU,MZIGUA,0.46,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
71,MALAWICEU400g95p,main,1D,7.08959640713209,0.4,0.876,0.999,1,SEMI.BANTU,MZIGUA,0.43,MZIGUA,MZIGUA,5.88418229736243,18.1421994244778,0.05,0.41,SEMI.BANTU,MZIGUA,0.49,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
103,MALAWIJOLA200g80p,main,2D,7.23677167583425,0.17,0.925,0.996,1,SEMI.BANTU,MZIGUA,0.29,MZIGUA,MZIGUA,5.83057652064313,136.844160745297,0.37,0.17,SEMI.BANTU,MZIGUA,0.45,MANDINKAII,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
107,MALAWIJOLA200g95p,main,1D,7.34830636640668,0.11,0.942,0.999,1,SEMI.BANTU,MZIGUA,0.49,MZIGUA,MZIGUA,5.55421323669688,10.9706444909926,0.07,0.36,MZIGUA,MZIGUA,0.48,MZIGUA,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
124,JOLAMALAWI100g90p,ancient,2D,25.1247970099384,0.19,0.737,0.876,0.999,SEMI.BANTU,SERERE,0.36,MANJAGO,SERERE,25.9725767461365,53.2192907504657,0.38,0.13,SEMI.BANTU,SERERE,0.45,MANDINKAI,SERERE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1MW
204,MALAWIJUHOAN200g95p,ancient,2D,334.250485774908,0.11,0.871,0.988,0.989,XUN,MZIGUA,0.36,SEBANTU,MZIGUA,11.6821868979104,250.866452779867,0.85,0.09,SEMI.BANTU,MZIGUA,0.09,XUN,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1D
64,MALAWICEU300g90p,ancient,U,278.008883482928,0.13,0.92,0.984,0.984,GBR,MZIGUA,0.3,SEBANTU,MZIGUA,13.6400909975119,281.021306320965,0.78,0.27,SEMI.BANTU,MZIGUA,0.15,GBR,MZIGUA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,U
